ID,캐릭터 이름,대사,스프라이트 이름
1,도로시,얘들아' 가는 길보다 오는 길이 더 긴 것 같은데 이거 맞아?,ending0
2,친구들,진정해 도로시' 그런 말을 하면 또 어디선가 뭐가 불쑥 튀어나온다고...,
3,도로시,...앗! 저기!,ending1
4,친구들,으잉?,
5,도로시,오즈님이야' 놀랐지? \n하하' 빨리 가자 얘들아!,
6,친구들,그래도 뛰진 말고 도로시!,
7,오즈,오오... 정말로 해냈군! 정말 수고가 많았다' 수고가 많았어.,ending2
8,도로시,별말씀을요. 참' 마녀가 사라진 자리에 남아있길래 이것도 가져왔긴 했어요.,
9,오즈,이건... 내 지팡이의 매개체였던 ⓑ마광석ⓦ이오. 이걸로 날 방해했던 거였군...,ending3
,,...참' 이런 게 중요한 게 아니지. 훌륭히 부탁을 수행해 준 당신들의 소원을 들어주는 게 먼저겠군.,
,,원하는 걸 말해보시오.,
10,친구들,저는 똑똑해지고 싶어요!,ending4
,,저는 심장을 갖고 싶어요.,
,,저는 더 용감해지고 싶어요...,
11,도로시,저는 집으로 돌아가고 싶어요!,
12,오즈,하하' 알겠소. 우선 허수아비에게는 ⓑ두뇌ⓦ를' 나무꾼에게는 ⓑ심장ⓦ을' 그리고 사자에게는 ⓑ용기ⓦ를 주겠소.,ending3
,,그리고... 도로시는 ⓑ신발의 굽을 2번 맞부딪치면ⓦ 집으로 돌아갈 수 있을거요.,
13,전원,감사합니다!,
14,오즈,모두 원하는 걸 얻었으니 앞으로 볼 일은 없겠구려. \n자... 그럼 헤어지기 전에 다들 작별인사라도 하지.,ending5
15,전원,감사했어요!,
16,오즈,당신들에겐 내가 더 감사하오. 다들 조심히 돌아가시오.,
17,도로시,얘들아' 너희도 정말 수고 많았어. 다음에 기회가 된다면 또 보자!,ending6
18,친구들,도로시도 잘 가!,
19,도로시,인사 이후 우리는 헤어졌고' 난 정신을 차려보니 우리 집 헛간에 우두커니 서 있었어.,ending7
,,여기까지가 지금까지의 ⓑ내 이야기ⓦ였어. 어때' 재밌지?,
,,괜찮다면 너도 나와 함께 ⓑ모험ⓦ을 떠나지 않을래?,ending8
