ID,캐릭터 이름,대사,스프라이트 이름
1,도로시,으... 너무 빡센데? 허수아비가 없었다면 우린 퉁퉁 부었을거야...,st2after0
,,근데 아까 벌 떼들 보고 마녀의 성이라고 한 친구는 누구야?,
2,친구들,... ...,st2after1
,,그래도 허수아비 덕분에 우리 모두 무사하니까 용서해주자' 도로시...,st2after2
3,도로시,다른 친구도 아니고 가장 고생한 허수아비라면 당연히 용서해주지!,
4,친구들,그래? 고마워' 도로시! 앗' 아야야...,
5,도로시,많이 아프면 이거 마시고 쉬었다가 출발하자. 오즈님이 챙겨준 ⓑ특제약ⓦ이야.,st2after3
6,친구들,고마워' 도로시.,
7,도로시,... 오! 길이 끝났어!,st2after4
8,친구들,도로시' 여기가 ⓑ마녀의 정원ⓦ인가봐!,st2after5
9,도로시,확실히 마녀는 뭐가 다르네' 디자인 감각이 뛰어난건가?,
10,마녀,이놈들! 남의 정원에 무단 침입해서 뭐라고 지껄이는 거냐!,st2after6
11,도로시,...! 마녀!,
12,마녀,또 쓸데없이 ⓑ오즈가 보낸 녀석들ⓦ이냐? 뭐... 사실 누구라도 상관은 없지.,
,,내 정원에 들어온 녀석들은 죄다 살아나가지 못했으니까... 너희도 예외는 아니다!,
13,도로시,큭... 하지만 우린 다른 녀석들과 달라' 서쪽 마녀!,st2after7
,,얘들아' 무기 들고 준비해!,
