ID,캐릭터 이름,대사,스프라이트 이름
1,도로시,얘들아' 이곳이 위대한 마법사 오즈의 집인가 봐.,opening0
,,오즈님! 마법사 오즈님!,
2,오즈,여기까지도 당신에 대한 소문이 들려오더군...,opening1
,,당신이 도로시요?,
3,도로시,맞아요' 저흰 오즈님의 도움이 필요해서 찾아왔어요.,
4,오즈,내가 당신들의 도움이 될 수 있다면 얼마든지 도와주겠소.,
,,다만...,
5,도로시,다만?,
6,오즈,저 흉포한 ⓑ서쪽 마녀ⓦ가 내 마법을 사사건건 방해해서 말이지.,opening3
,,당신들이 서쪽 마녀를 무찔러준다면 내 무슨 소원이든 들어주겠소.,
7,도로시,저희가 서쪽 마녀를 무찔러야 한다고요? 하지만 저흰 마땅한 무기도 없어요.,opening1
8,오즈,하하! 무기가 걱정이라면 내 필요한 걸 지원해주리다.,
,,어디... 이 정도면 되겠소?,opening2
9,도로시,좋아요' 충분한 것 같아요.,
10,오즈,마녀에게 가는 길이 꽤 위험하오.,
,,저 길을 따라 쭉 가면 되지만' 그 길에는 ⓑ늑대 기사들ⓦ과 ⓑ벌 떼들ⓦ이 거주하고 있거든.,opening4
11,도로시,그것들이 아무리 강해도 저와 제 친구들을 해칠 순 없어요.,opening2
12,오즈,당당한 모습이 보기 좋구려… 잘 다녀오시오.,
13,도로시,꼭 소원을 들어주셔야 해요? \n가자 얘들아!,
14,친구들,응' 도로시!,
15,도로시,오즈님이 하도 경고하길래 엄청 험할 줄 알았는데' 아직까진 별 거 없네.,opening5
16,친구들,도로시' 그런 말을 하면 꼭 큰 일이 난다고…,opening6
17,도로시,에이 설마...,opening5
,,잠깐' 무슨 소리가 나지 않았어?,
18,친구들,도로시! 뒤' 뒤에서 ⓑ늑대 기사들ⓦ이 달려오고 있어!,opening7
19,도로시,뭐? 다들 준비해! ,opening8
