ID,캐릭터 이름,대사,스프라이트 이름
1,마녀,이럴 순 없다' 내가 너희같은 애송이들에게 진다고? 내가...?!!,st3after0
2,도로시,그만 발악하고 순순히 퇴장하시지! 다른 마녀들도 우리 손에 끝났다고.,st3after1
,,너도 예외는 아니다' 서쪽 마녀!,
3,마녀,으아아아!!!,
,,... ...,st3after2
4,도로시,후... 다 끝난 것 같지?,st3after3
5,친구들,응' 수고 많았어 도로시.,
6,도로시,정말 힘든 싸움이었어... 참' 다들 무사하지?,
7,친구들,아마? 아까부터 사자가 엉엉 울고 있는데 그건 무시해도 될 것 같아.,st3after4
8,도로시,너희가 달래봐... 어' 저게 뭐지?,st3after5
,,... ⓑ에메랄드ⓦ? 이것 때문에 오즈님이 방해를 받았던 걸까...,
,,어머' 챙기니까 작아졌어... 정말 신기하네.,st3after6
9,친구들,도로시' 뭐해? 빨리와! 사자도 진정했으니까 이제 오즈님한테 가면 될 것 같아.,st3after7
10,도로시,좋아' 돌아가자!,
